id,sale_price,lot_area,overall_qual,overall_cond,year_built,year_remod_add,mas_vnr_area,bsmt_fin_sf1,bsmt_fin_sf2,bsmt_unf_sf,total_bsmt_sf,first_flr_sf,second_flr_sf,gr_liv_area,bedroom_abvgr,kitchen_abvgr,tot_rms_abvgrd,fireplaces,garage_cars,garage_area,wood_deck_sf,open_porch_sf,neighborhood,bldg_type,house_style,roof_style,exterior_1st,foundation,heating,central_air,electrical,sale_type,sale_condition
1,356055,9532,8,9,2010,2018,47.0,1167,12,198,1377,801,274,1075,6,3,10,1,0,314.0,1.0,13.0,OldTown,1Fam,2Story,Hip,Wd Sdng,PConc,GasW,Y,SBrkr,WD,Normal
2,238251,12428,3,10,1916,1979,28.0,1179,31,340,1550,471,223,694,5,2,3,0,2,284.0,54.0,15.0,NWAmes,1Fam,1Story,Gable,BrkFace,CBlock,GasA,Y,SBrkr,New,Normal
3,414542,8989,10,2,1916,1957,27.0,142,46,2301,2489,734,185,919,5,3,9,4,3,643.0,19.0,4.0,NAmes,1Fam,1.5Fin,Gable,MetalSd,PConc,GasA,N,SBrkr,Oth,Normal
4,420433,11453,8,6,2010,1987,37.0,7,20,783,810,1106,962,2068,4,1,11,1,3,395.0,193.0,10.0,OldTown,1Fam,1Story,Gable,MetalSd,CBlock,GasA,Y,SBrkr,WD,Normal
5,337817,5183,8,3,1914,2010,22.0,389,17,3,409,1022,61,1083,6,2,7,1,2,742.0,138.0,241.0,CollgCr,2fmCon,1Story,Gable,VinylSd,PConc,GasA,Y,,WD,Normal
6,277811,14863,5,6,2003,2014,49.0,533,2,20,555,593,51,644,3,2,4,1,2,763.0,85.0,,CollgCr,TwnhsE,1Story,Gable,Wd Sdng,BrkTil,GasA,Y,FuseA,WD,Normal
7,352175,13367,8,3,1897,2016,1.0,40,1,376,417,1081,374,1455,2,2,10,0,2,183.0,67.0,,OldTown,1Fam,2.5Unf,Gable,MetalSd,CBlock,GasA,Y,SBrkr,WD,Normal
8,280597,8879,6,8,2001,1995,175.0,43,16,393,452,874,23,897,1,2,11,1,2,51.0,29.0,8.0,BrkSide,1Fam,1.5Fin,Hip,Wd Sdng,CBlock,GasA,N,,New,Normal
9,369623,18575,5,4,1927,1992,129.0,518,37,842,1397,1313,197,1510,4,3,9,3,3,348.0,64.0,11.0,NridgHt,TwnhsE,2Story,Gable,VinylSd,CBlock,GasA,Y,SBrkr,WD,Abnorml
10,364530,21349,9,10,1896,2008,136.0,764,40,396,1200,728,198,926,3,1,7,0,2,724.0,102.0,40.0,Gilbert,1Fam,1Story,Hip,HdBoard,CBlock,GasA,N,SBrkr,WD,Normal
11,314623,5980,7,6,2014,1995,22.0,469,34,103,606,746,111,857,6,3,10,1,3,27.0,152.0,21.0,NWAmes,1Fam,1Story,Gable,Wd Sdng,CBlock,GasA,Y,,WD,Normal
12,395994,9123,8,9,1936,1984,37.0,67,26,252,345,929,799,1728,5,3,8,1,2,285.0,8.0,51.0,BrkSide,1Fam,1.5Fin,Hip,MetalSd,Wood,Floor,Y,SBrkr,WD,Normal
13,176374,9094,1,2,1887,1988,154.0,159,14,662,835,792,99,891,6,2,6,0,2,42.0,123.0,27.0,BrkSide,1Fam,2Story,Hip,VinylSd,PConc,GasA,Y,,WD,Normal
14,216012,8350,2,2,2007,2000,116.0,275,25,1024,1324,690,102,792,3,1,3,2,2,9.0,135.0,83.0,OldTown,1Fam,1Story,Flat,Wd Sdng,PConc,GasA,Y,SBrkr,ConLD,Normal
15,353033,20226,8,7,1996,1953,78.0,52,7,108,167,1559,80,1639,6,3,8,1,0,398.0,81.0,28.0,Somerst,1Fam,1Story,Hip,BrkFace,CBlock,GasA,Y,SBrkr,WD,AdjLand
16,396841,12125,9,2,1935,2000,26.0,70,6,310,386,1375,47,1422,5,1,10,0,3,,24.0,42.0,NWAmes,Twnhs,2Story,Gable,VinylSd,BrkTil,GasA,Y,SBrkr,WD,Normal
17,242579,11704,4,2,2005,1954,41.0,99,17,69,185,673,135,808,3,1,5,1,3,321.0,77.0,19.0,OldTown,1Fam,2Story,Gable,VinylSd,CBlock,GasA,Y,SBrkr,WD,Normal
18,394713,4905,10,4,1938,2004,78.0,213,268,274,755,959,342,1301,1,1,9,1,3,686.0,69.0,60.0,Sawyer,1Fam,1Story,Gable,VinylSd,Slab,GasA,Y,SBrkr,WD,Normal
19,314704,18355,10,9,1937,1969,15.0,214,19,37,270,567,406,973,4,1,9,1,1,29.0,64.0,53.0,NWAmes,1Fam,1Story,Hip,VinylSd,PConc,GasA,Y,SBrkr,WD,Normal
20,465999,7189,9,8,2019,1973,49.0,505,137,1137,1779,1495,503,1998,6,3,11,0,3,38.0,61.0,25.0,NridgHt,1Fam,1Story,Gable,BrkFace,CBlock,GasA,Y,SBrkr,WD,Normal
21,302679,13766,4,2,1987,1985,87.0,419,24,406,849,1127,66,1193,5,1,3,1,0,699.0,11.0,16.0,Gilbert,2fmCon,2Story,Hip,HdBoard,BrkTil,GasA,Y,SBrkr,New,Normal
22,369697,15347,10,8,1953,1983,61.0,735,28,770,1533,1213,10,1223,1,3,7,3,1,244.0,20.0,47.0,Gilbert,1Fam,1.5Fin,Gable,VinylSd,Wood,GasA,Y,SBrkr,WD,Normal
