Date,State,Unemployment_Rate,Employment_Rate,Labour_Participation_Rate
2019-01-31,Maharashtra,5.26,93.96,41.16
2019-02-28,Maharashtra,6.69,88.98,52.02
2019-03-31,Maharashtra,5.79,93.29,46.08
2019-04-30,Maharashtra,5.85,91.53,48.64
2019-05-31,Maharashtra,7.19,92.12,45.84
2019-06-30,Maharashtra,4.85,93.32,49.12
2019-07-31,Maharashtra,5.74,91.69,51.85
2019-08-31,Maharashtra,6.97,92.8,52.15
2019-09-30,Maharashtra,5.77,93.74,53.68
2019-10-31,Maharashtra,7.32,90.48,42.44
2019-11-30,Maharashtra,5.84,89.62,45.18
2019-12-31,Maharashtra,6.37,90.32,46.23
2020-01-31,Maharashtra,9.15,89.93,59.39
2020-02-29,Maharashtra,7.56,88.56,58.79
2020-03-31,Maharashtra,6.59,88.8,41.77
2020-04-30,Maharashtra,16.62,83.15,46.51
2020-05-31,Maharashtra,17.87,80.35,45.62
2020-06-30,Maharashtra,17.63,81.66,56.04
2020-07-31,Maharashtra,11.25,85.1,55.43
2020-08-31,Maharashtra,11.55,86.65,42.32
2020-09-30,Maharashtra,12.32,87.37,46.22
2020-10-31,Maharashtra,7.47,90.9,54.59
2020-11-30,Maharashtra,7.21,90.43,42.39
2020-12-31,Maharashtra,6.67,89.77,55.22
2021-01-31,Maharashtra,7.87,89.66,50.45
2021-02-28,Maharashtra,6.71,91.15,40.51
2021-03-31,Maharashtra,4.95,92.51,58.15
2021-04-30,Maharashtra,7.41,91.34,48.21
2021-05-31,Maharashtra,5.58,94.03,45.8
2021-06-30,Maharashtra,7.11,92.08,58.59
2021-07-31,Maharashtra,6.87,88.77,56.07
2021-08-31,Maharashtra,7.53,91.54,57.85
2021-09-30,Maharashtra,7.74,87.78,46.36
2021-10-31,Maharashtra,6.55,92.9,44.56
2021-11-30,Maharashtra,7.64,88.05,40.14
2021-12-31,Maharashtra,6.08,91.37,48.35
2022-01-31,Maharashtra,5.98,92.34,58.86
2022-02-28,Maharashtra,6.08,92.3,50.38
2022-03-31,Maharashtra,5.43,89.71,59.25
2022-04-30,Maharashtra,7.77,90.97,49.94
2022-05-31,Maharashtra,5.3,94.52,52.19
2022-06-30,Maharashtra,5.38,92.11,41.03
2022-07-31,Maharashtra,6.85,91.95,42.9
2022-08-31,Maharashtra,6.11,91.44,59.71
2022-09-30,Maharashtra,7.14,89.05,44.75
2022-10-31,Maharashtra,5.22,91.14,47.36
2022-11-30,Maharashtra,7.78,89.55,41.81
2022-12-31,Maharashtra,7.76,88.06,46.42
2019-01-31,Delhi,4.78,91.83,40.33
2019-02-28,Delhi,4.18,93.26,44.53
2019-03-31,Delhi,3.62,92.93,47.73
2019-04-30,Delhi,5.15,90.16,42.75
2019-05-31,Delhi,3.9,91.48,57.55
2019-06-30,Delhi,4.36,94.35,53.2
2019-07-31,Delhi,4.91,92.45,44.84
