Name,Year,Selling_Price,Present_Price,Kms_Driven,Fuel_Type,Seller_Type,Transmission,Owner,Mileage,Engine,Power,Seats
Hyundai XUV300,2011,2.76,12.81,92498,Diesel,Individual,Automatic,First,27.5,1498,50.1,8
Maruti Kwid,2021,7.05,14.55,89478,Petrol,Dealer,Manual,First,24.6,1197,107.4,8
Hyundai EcoSport,2011,1.53,6.75,92313,CNG,Individual,Automatic,First,13.6,1199,86.2,5
Maruti Swift,2008,1.76,7.01,24457,Petrol,Dealer,Manual,First,25.5,998,109.3,7
Toyota XUV300,2018,4.45,7.31,6016,LPG,Individual,Automatic,First,21.4,2179,92.1,5
Maruti Nexon,2013,1.71,19.99,138767,Petrol,Individual,Automatic,Second,24.3,1396,188.9,5
Mahindra Kwid,2012,1.53,12.89,57256,Petrol,Dealer,Manual,Second,22.2,2993,134.2,5
Maruti Kwid,2019,3.92,12.41,127409,Petrol,Dealer,Automatic,First,21.0,1199,186.1,5
Hyundai Innova,2017,1.15,4.69,80450,Diesel,Individual,Manual,First,13.7,1199,183.9,5
Maruti Kwid,2017,9.52,21.94,26959,Petrol,Individual,Manual,First,15.9,2993,98.5,5
Toyota Swift,2021,3.75,8.59,57733,Diesel,Individual,Manual,Fourth & Above,16.3,998,125.4,4
Maruti i20,2016,2.88,12.85,75467,Petrol,Dealer,Manual,Second,19.5,998,145.0,5
Maruti Swift,2013,1.77,10.06,56663,Petrol,Individual,Manual,First,20.2,1197,102.3,4
Hyundai XUV300,2005,3.85,17.87,44384,Petrol,Individual,Manual,First,14.8,2179,127.5,5
Nissan EcoSport,2009,4.46,22.42,12400,Petrol,Individual,Automatic,Third,24.5,1997,177.6,7
Honda Kwid,2007,5.96,24.42,26357,Petrol,Individual,Manual,First,23.4,799,124.1,5
Hyundai XUV300,2011,3.08,18.86,75271,Diesel,Dealer,Manual,First,15.9,1498,196.8,5
Hyundai Swift,2019,4.5,13.84,98179,Diesel,Dealer,Manual,Second,14.8,1396,182.5,6
Renault Swift,2018,6.49,24.27,129019,Petrol,Dealer,Automatic,First,14.7,2179,109.2,6
Hyundai Magnite,2006,0.5,10.1,110864,Diesel,Dealer,Manual,Second,25.0,2179,141.7,4
Maruti Innova,2017,2.06,7.27,82575,Diesel,Individual,Automatic,First,18.0,998,115.8,5
Nissan Polo,2021,0.79,3.82,132813,Petrol,Individual,Manual,Second,16.3,1396,118.6,6
Maruti City,2012,1.92,18.97,99476,LPG,Individual,Manual,First,18.9,2184,61.8,4
Maruti Swift,2019,2.89,8.51,143877,Petrol,Dealer,Automatic,Second,20.3,1396,141.8,5
Maruti City,2009,0.5,5.64,98468,Petrol,Dealer,Manual,Third,23.3,2184,164.5,6
Honda Magnite,2014,2.52,23.88,102379,Petrol,Dealer,Manual,First,25.7,1396,152.6,5
Renault i20,2021,11.17,22.08,16938,Diesel,Individual,Manual,Third,18.2,799,147.7,5
Hyundai City,2007,0.79,10.4,99297,Petrol,Individual,Manual,Second,16.5,1199,153.9,5
Renault XUV300,2008,2.77,12.19,49425,Petrol,Individual,Manual,Second,14.0,799,166.5,5
Ford Kwid,2021,4.4,14.76,136800,Petrol,Individual,Manual,First,26.5,2179,97.9,8
Renault City,2019,1.97,4.83,131020,Petrol,Dealer,Manual,Second,24.7,2179,67.0,7
Nissan Kwid,2014,4.64,21.41,6542,Petrol,Dealer,Manual,Third,14.3,1396,85.0,5
Tata Polo,2021,5.86,23.84,137396,Diesel,Dealer,Manual,Second,20.9,2993,87.3,5
Hyundai Magnite,2012,1.04,5.59,47918,Diesel,Individual,Automatic,First,16.6,1997,129.3,5
